type,minute,extra,player,club,action,game_id
Substitutions,90,2.0,{'href': '/nicolas-de-la-cruz/profil/spieler/397458'},"{'name': 'CR Flamengo', 'href': '/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/victor-hugo/profil/spieler/749559'}, 'player_assist': {'href': None}}",4316310
Cards,45,2.0,{'href': '/angel-romero/profil/spieler/262262'},"{'name': 'Sport Club Corinthians Paulista', 'href': '/corinthians-sao-paulo/startseite/verein/199/saison_id/2023'}","{'result': None, 'description': '2. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316310
Cards,68,,{'href': '/leo-pereira/profil/spieler/288431'},"{'name': 'CR Flamengo', 'href': '/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2023'}","{'result': None, 'description': '3. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316310
Goals,45,1.0,{'href': '/lazaro/profil/spieler/574772'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': '0:1', 'description': ', Header, 1. Goal of the Season Assist: , Cross, 1. Assist of the Season', 'player_in': {'href': None}, 'player_assist': {'href': '/luis-guilherme/leistungsdatendetails/spieler/991800/saison/2023/wettbewerb/BRA1'}}",4316295
Goals,71,,{'href': '/estevao/profil/spieler/1056993'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': '0:2', 'description': ', Penalty, 1. Goal of the Season', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316295
Substitutions,58,,{'href': '/luis-guilherme/profil/spieler/991800'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/estevao/profil/spieler/1056993'}, 'player_assist': {'href': None}}",4316295
Substitutions,58,,{'href': '/endrick/profil/spieler/971570'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/richard-rios/profil/spieler/735573'}, 'player_assist': {'href': None}}",4316295
Substitutions,58,,{'href': '/lazaro/profil/spieler/574772'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/romulo/profil/spieler/867461'}, 'player_assist': {'href': None}}",4316295
Substitutions,62,,{'href': '/alan-empereur/profil/spieler/169179'},"{'name': 'Cuiabá Esporte Clube (MT)', 'href': '/cuiaba-ec-mt-/startseite/verein/28022/saison_id/2023'}","{'result': None, 'description': ', Injury', 'player_in': {'href': '/rikelme/profil/spieler/862358'}, 'player_assist': {'href': None}}",4316295
Substitutions,70,,{'href': '/isidro-pitta/profil/spieler/675178'},"{'name': 'Cuiabá Esporte Clube (MT)', 'href': '/cuiaba-ec-mt-/startseite/verein/28022/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/andre-luis/profil/spieler/519851'}, 'player_assist': {'href': None}}",4316295
Substitutions,71,,{'href': '/ramon/profil/spieler/663578'},"{'name': 'Cuiabá Esporte Clube (MT)', 'href': '/cuiaba-ec-mt-/startseite/verein/28022/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/bruno-alves/profil/spieler/177534'}, 'player_assist': {'href': None}}",4316295
Substitutions,82,,{'href': '/anibal-moreno/profil/spieler/642758'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/fabinho/profil/spieler/627230'}, 'player_assist': {'href': None}}",4316295
Substitutions,82,,{'href': '/gabriel-menino/profil/spieler/608216'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/ze-rafael/profil/spieler/225432'}, 'player_assist': {'href': None}}",4316295
Substitutions,83,,{'href': '/derik-lacerda/profil/spieler/700933'},"{'name': 'Cuiabá Esporte Clube (MT)', 'href': '/cuiaba-ec-mt-/startseite/verein/28022/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/jonathan-cafu/profil/spieler/347100'}, 'player_assist': {'href': None}}",4316295
Substitutions,83,,{'href': '/lucas-fernandes/profil/spieler/430761'},"{'name': 'Cuiabá Esporte Clube (MT)', 'href': '/cuiaba-ec-mt-/startseite/verein/28022/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/clayson/profil/spieler/392809'}, 'player_assist': {'href': None}}",4316295
Cards,43,,{'href': '/derik-lacerda/profil/spieler/700933'},"{'name': 'Cuiabá Esporte Clube (MT)', 'href': '/cuiaba-ec-mt-/startseite/verein/28022/saison_id/2023'}","{'result': None, 'description': '2. Yellow card  , Dissent', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316295
Cards,50,,{'href': '/murilo/profil/spieler/458710'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': None, 'description': '3. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316295
Cards,75,,{'href': '/gabriel-menino/profil/spieler/608216'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': None, 'description': '2. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316295
Cards,90,4.0,{'href': '/ze-rafael/profil/spieler/225432'},"{'name': 'Sociedade Esportiva Palmeiras', 'href': '/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2023'}","{'result': None, 'description': '1. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316295
Cards,90,7.0,{'href': '/matheus-alexandre/profil/spieler/617687'},"{'name': 'Cuiabá Esporte Clube (MT)', 'href': '/cuiaba-ec-mt-/startseite/verein/28022/saison_id/2023'}","{'result': None, 'description': '2. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316295
Goals,45,3.0,{'href': '/everaldo/profil/spieler/205041'},"{'name': 'Esporte Clube Bahia', 'href': '/esporte-clube-bahia/startseite/verein/10010/saison_id/2023'}","{'result': '0:1', 'description': ', Penalty, 3. Goal of the Season', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316291
Goals,63,,{'href': '/jeffinho/profil/spieler/884072'},"{'name': 'Botafogo de Futebol e Regatas', 'href': '/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2023'}","{'result': '1:1', 'description': ', Right-footed shot, 1. Goal of the Season Assist: , 1. Assist of the Season', 'player_in': {'href': None}, 'player_assist': {'href': '/marlon-freitas/leistungsdatendetails/spieler/364972/saison/2023/wettbewerb/BRA1'}}",4316291
Goals,86,,{'href': '/rafael-ratao/profil/spieler/289802'},"{'name': 'Esporte Clube Bahia', 'href': '/esporte-clube-bahia/startseite/verein/10010/saison_id/2023'}","{'result': '1:2', 'description': ', Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season', 'player_in': {'href': None}, 'player_assist': {'href': '/carlos-de-pena/leistungsdatendetails/spieler/257740/saison/2023/wettbewerb/BRA1'}}",4316291
